,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
160,Maine,30,9,21,.300,-11.33,-4.40,,4,12,,5,8,,3,11,,1980,2085,,,,.380,.341,.516,48.6,55.7,,8.5,.481,18.6,,.256
161,Manhattan,30,16,14,.533,-4.09,-3.40,,9,9,,9,5,,7,7,,1931,1927,,,,.445,.299,.487,52.0,45.6,,10.5,.446,17.3,,.288
162,Marist,33,10,23,.303,-7.24,-1.85,,4,14,,7,7,,2,14,,2111,2289,,,,.339,.366,.498,47.6,48.0,,6.5,.471,19.5,,.215
163,Marquette NCAA,35,25,10,.714,15.06,7.87,,12,6,,16,2,,7,4,,2739,2432,,,,.454,.347,.557,52.0,57.5,,7.7,.512,14.2,,.330
164,Marshall,32,15,17,.469,0.14,2.73,,7,9,,13,3,,2,9,,2276,2255,,,,.423,.350,.540,51.1,54.1,,5.7,.497,16.5,,.303
165,Maryland-Baltimore County,32,15,17,.469,-8.74,-4.16,,7,9,,8,5,,5,12,,2102,2207,,,,.331,.205,.506,47.7,53.4,,6.9,.468,13.1,,.234
166,Maryland-Eastern Shore,30,7,23,.233,-22.60,-8.80,,3,13,,5,6,,2,16,,1757,2089,,,,.440,.310,.460,50.3,49.3,,4.4,.421,20.5,,.272
167,Maryland NCAA,35,21,14,.600,11.10,8.99,,7,9,,14,4,,2,6,,2512,2419,,,,.280,.277,.509,48.9,55.3,,10.6,.470,14.8,,.212
168,Massachusetts,30,12,18,.400,0.64,3.54,,7,9,,6,7,,3,10,,2146,2211,,,,.289,.408,.534,47.5,56.3,,12.8,.507,17.4,,.201
169,McNeese State,29,11,18,.379,-5.47,-3.99,,5,11,,9,5,,2,13,,1853,1865,,,,.314,.273,.501,52.4,51.4,,15.0,.474,19.8,,.203
170,Memphis NCAA,37,33,4,.892,20.92,4.63,,16,0,,19,1,,10,1,,2779,2176,,,,.399,.313,.537,54.2,53.7,,15.2,.501,15.2,,.275
171,Mercer,32,17,15,.531,-7.10,0.12,,11,9,,8,4,,7,11,,2392,2429,,,,.388,.370,.533,51.6,47.8,,8.2,.492,18.3,,.279
172,Miami (FL),32,19,13,.594,11.76,9.04,,7,9,,12,4,,5,7,,2325,2123,,,,.379,.366,.528,53.5,51.0,,10.5,.494,16.3,,.258
173,Miami (OH),30,17,13,.567,3.16,0.46,,10,6,,9,2,,7,10,,1847,1766,,,,.346,.319,.525,50.2,56.2,,8.8,.488,18.7,,.245
174,Michigan State NCAA,38,31,7,.816,17.71,9.37,,15,3,,12,2,,9,1,,2737,2420,,,,.411,.266,.536,56.8,63.5,,8.2,.498,17.3,,.287
175,Michigan NCAA,35,21,14,.600,11.90,9.74,,9,9,,14,3,,3,8,,2341,2213,,,,.285,.477,.540,47.5,66.7,,7.5,.505,15.6,,.216
176,Middle Tennessee,32,18,14,.563,-1.32,-2.78,,10,8,,10,6,,6,7,,2254,2114,,,,.383,.270,.530,52.1,48.6,,4.4,.494,15.1,,.266
177,Milwaukee,31,17,14,.548,-0.54,0.80,,11,7,,12,3,,3,10,,2108,2108,,,,.352,.407,.508,51.1,50.7,,7.7,.467,16.2,,.253
178,Minnesota NCAA,33,22,11,.667,11.32,7.19,,9,9,,16,3,,4,6,,2189,2032,,,,.345,.324,.531,51.5,59.6,,18.9,.494,18.8,,.247
179,Mississippi State NCAA,36,23,13,.639,9.10,4.62,,9,7,,13,5,,6,5,,2677,2479,,,,.412,.398,.544,49.4,50.2,,17.0,.504,17.4,,.292
180,Mississippi Valley State,32,7,25,.219,-18.44,-7.22,,7,11,,7,3,,0,19,,2029,2388,,,,.328,.329,.474,47.7,50.6,,4.7,.437,18.7,,.223
181,Mississippi,31,16,15,.516,5.82,5.41,,7,9,,12,4,,3,8,,2254,2241,,,,.342,.346,.530,50.5,45.7,,8.7,.492,16.1,,.249
182,Kansas City,31,7,24,.226,-10.11,-1.25,,3,15,,3,9,,3,14,,2008,2263,,,,.347,.332,.495,48.5,48.4,,4.9,.453,16.7,,.246
183,Missouri State,31,11,20,.355,-1.90,1.90,,3,15,,9,8,,2,11,,1887,1984,,,,.380,.380,.500,49.7,54.9,,6.5,.462,17.8,,.258
184,Missouri NCAA,38,31,7,.816,19.56,6.72,,12,4,,18,0,,5,4,,3096,2571,,,,.366,.313,.554,49.6,62.2,,9.3,.527,13.8,,.246
185,Monmouth,31,8,23,.258,-14.84,-5.91,,6,12,,6,8,,1,14,,1925,2188,,,,.333,.356,.506,47.8,64.5,,7.7,.470,19.6,,.233
186,Montana State,31,14,17,.452,-6.38,-2.45,,6,10,,7,5,,7,11,,2053,2152,,,,.393,.346,.508,51.4,49.6,,9.1,.471,17.5,,.264
187,Montana,29,17,12,.586,-2.92,-3.53,,11,5,,12,3,,5,9,,1905,1868,,,,.380,.316,.554,49.4,53.8,,10.6,.515,16.4,,.277
188,Morehead State NCAA,36,20,16,.556,-3.14,-3.61,,12,6,,12,1,,4,12,,2511,2411,,,,.416,.286,.530,55.9,53.6,,10.9,.485,19.0,,.300
189,Morgan State NCAA,35,23,12,.657,-2.29,-6.53,,13,3,,8,2,,10,7,,2333,2182,,,,.330,.262,.493,52.4,45.9,,8.2,.463,16.1,,.214
190,Mount St. Mary's,33,19,14,.576,-1.47,-5.78,,12,6,,12,2,,7,12,,2241,2079,,,,.343,.258,.524,51.3,49.9,,9.7,.494,16.8,,.231
191,Murray State,31,19,12,.613,-0.09,-3.95,,13,5,,12,2,,6,6,,2119,1959,,,,.407,.297,.531,52.3,53.7,,5.9,.489,16.9,,.291
192,Navy,30,19,11,.633,-5.35,-7.68,,8,6,,12,3,,7,7,,2129,2059,,,,.380,.378,.518,48.9,52.7,,6.4,.474,16.9,,.275
193,Nebraska,31,18,13,.581,8.92,4.82,,8,8,,14,4,,4,8,,1999,1872,,,,.382,.363,.539,44.7,59.8,,5.7,.502,16.1,,.268
194,Nevada-Las Vegas,32,21,11,.656,8.68,4.34,,9,7,,15,4,,6,7,,2200,2061,,,,.379,.400,.527,47.8,58.3,,10.6,.492,15.3,,.259
195,Nevada,34,21,13,.618,4.28,1.40,,11,5,,13,8,,8,5,,2400,2249,,,,.404,.279,.521,51.0,49.3,,12.0,.470,15.0,,.301
196,New Hampshire,30,14,16,.467,-9.40,-5.57,,8,8,,8,5,,5,10,,1876,1936,,,,.319,.443,.486,51.2,49.9,,7.9,.458,17.1,,.204
197,New Mexico State,32,17,15,.531,2.25,0.28,,9,7,,12,4,,4,10,,2443,2380,,,,.377,.299,.557,47.9,52.8,,9.4,.525,16.3,,.264
198,New Mexico,34,22,12,.647,11.37,3.60,,12,4,,16,2,,6,7,,2510,2246,,,,.460,.344,.565,52.2,62.1,,10.4,.527,16.0,,.323
199,New Orleans,30,11,19,.367,-9.79,-4.08,,6,12,,9,6,,2,13,,1863,2000,,,,.408,.234,.507,48.4,43.5,,4.7,.470,19.6,,.269
200,Niagara,35,26,9,.743,6.21,-2.25,,14,4,,11,3,,10,6,,2665,2369,,,,.412,.393,.520,49.7,55.3,,11.2,.476,15.3,,.293
201,Nicholls State,31,20,11,.645,-3.08,-4.08,,12,4,,11,3,,7,6,,2029,1866,,,,.397,.395,.574,49.5,64.9,,4.7,.547,20.0,,.269
202,NJIT,31,1,30,.032,,,,,,,1,13,,0,15,,1545,2083,,,74.8,.306,.350,.421,47.2,50.2,10.9,8.7,.385,23.6,29.3,.194
203,Norfolk State,31,13,18,.419,-13.31,-9.49,,9,7,,6,4,,5,10,,2119,2219,,,,.375,.272,.509,48.7,41.6,,9.5,.477,19.4,,.244
204,UNC Asheville,31,15,16,.484,-11.34,-4.19,,10,8,,11,3,,4,13,,2261,2410,,,,.364,.327,.536,47.9,62.1,,10.2,.504,19.4,,.250
205,North Carolina A&T,32,16,16,.500,-13.00,-8.37,,9,7,,10,2,,4,13,,2145,2138,,,,.319,.342,.506,50.0,49.5,,13.7,.481,21.4,,.202
206,North Carolina Central,31,4,27,.129,,,,,,,3,7,,0,17,,1888,2468,,,84.1,.319,.320,.461,42.8,54.8,12.2,7.5,.421,20.9,28.4,.219
207,UNC Greensboro,30,5,25,.167,-16.01,-4.33,,4,16,,2,10,,3,14,,1888,2216,,,,.369,.334,.485,48.5,48.0,,10.1,.450,19.0,,.239
208,NC State,30,16,14,.533,8.38,6.74,,6,10,,14,4,,2,8,,2189,2087,,,,.378,.331,.571,52.5,59.2,,9.0,.538,18.5,,.271
209,UNC Wilmington,32,7,25,.219,-13.82,-0.66,,3,15,,5,9,,1,15,,2280,2673,,,,.295,.414,.512,45.1,55.1,,2.9,.483,16.8,,.201
210,North Carolina NCAA,38,34,4,.895,25.46,8.35,,13,3,,14,1,,8,2,,3413,2735,,,,.392,.272,.573,54.1,56.8,,11.9,.533,13.7,,.295
211,North Dakota State NCAA,33,26,7,.788,6.18,-2.72,,16,2,,12,1,,10,4,,2659,2279,,,,.374,.299,.583,53.1,51.5,,7.7,.549,14.0,,.276
212,North Florida,30,8,22,.267,,,,6,14,,6,6,,2,14,,1697,2095,,,86.3,.331,.260,.471,45.5,52.0,9.8,7.2,.447,20.3,28.1,.196
213,North Texas,32,20,12,.625,-1.14,-2.77,,11,7,,12,4,,7,6,,2472,2390,,,,.478,.320,.544,51.6,48.5,,6.6,.493,15.4,,.350
214,Northeastern,32,19,13,.594,1.91,-0.24,,12,6,,7,5,,11,7,,2001,1932,,,,.385,.344,.535,50.1,54.2,,8.3,.492,17.7,,.282
215,Northern Arizona,27,8,19,.296,-6.14,-1.70,,5,11,,7,5,,1,14,,1795,1829,,,,.315,.330,.554,51.6,60.9,,7.2,.539,19.8,,.194
216,Northern Colorado,32,14,18,.438,-4.57,-3.64,,8,8,,10,4,,3,13,,2259,2266,,,,.448,.344,.569,51.4,52.9,,4.9,.527,19.9,,.324
217,Northern Illinois,30,10,20,.333,-10.00,-5.13,,5,11,,7,5,,2,11,,1985,2123,,,,.397,.320,.501,49.8,53.0,,8.6,.478,19.5,,.235
218,Northern Iowa NCAA,34,23,11,.676,5.63,2.24,,14,4,,11,4,,8,4,,2290,2158,,,,.424,.371,.563,52.4,54.6,,7.4,.517,16.3,,.320
219,Northwestern State,31,11,20,.355,-18.70,-3.34,,3,13,,6,7,,3,12,,2188,2475,,,,.369,.290,.481,50.9,54.0,,13.5,.446,20.9,,.240
220,Northwestern,31,17,14,.548,8.56,6.93,,8,10,,13,4,,4,9,,1967,1876,,,,.294,.422,.550,46.0,67.7,,9.8,.526,16.2,,.203
221,Notre Dame,36,21,15,.583,12.26,8.70,,8,10,,15,3,,3,8,,2727,2544,,,,.267,.351,.530,50.5,60.8,,6.1,.503,11.8,,.189
222,Oakland,36,23,13,.639,1.80,-1.60,,13,5,,12,0,,7,10,,2699,2546,,,,.363,.358,.573,50.5,56.7,,12.4,.546,16.2,,.253
223,Ohio State NCAA,33,22,11,.667,12.48,8.23,,10,8,,15,3,,4,7,,2206,2046,,,,.383,.356,.577,48.9,56.6,,16.2,.548,18.7,,.268
224,Ohio,32,15,17,.469,-1.56,-1.40,,7,9,,11,2,,2,13,,2075,2080,,,,.391,.351,.535,48.3,61.5,,5.9,.498,19.2,,.275
225,Oklahoma State NCAA,35,23,12,.657,13.78,7.44,,9,7,,14,2,,4,6,,2830,2608,,,,.394,.413,.579,48.9,47.0,,6.2,.540,15.0,,.295
226,Oklahoma NCAA,36,30,6,.833,18.07,6.88,,13,3,,16,1,,7,3,,2833,2430,,,,.465,.345,.581,53.9,53.1,,11.0,.552,17.0,,.314
227,Old Dominion,35,25,10,.714,2.86,-2.23,,12,6,,16,3,,8,7,,2333,2110,,,,.325,.260,.511,55.1,61.8,,10.3,.486,15.8,,.208
228,Oral Roberts,31,16,15,.516,3.68,-0.05,,14,4,,9,2,,6,10,,2194,2058,,,,.406,.306,.525,51.9,51.2,,7.3,.491,17.4,,.271
229,Oregon State,36,18,18,.500,4.25,7.55,,7,11,,13,7,,5,10,,2189,2279,,,,.321,.362,.551,48.4,57.8,,6.1,.531,19.4,,.207
230,Oregon,31,8,23,.258,1.51,10.28,,2,16,,6,9,,1,10,,2088,2360,,,,.379,.378,.505,46.6,53.0,,8.0,.469,18.2,,.255
231,Pacific,34,21,13,.618,2.22,-1.59,,10,6,,12,4,,7,8,,2254,2120,,,,.364,.369,.561,51.8,58.6,,6.5,.535,17.1,,.247
232,Penn State,38,27,11,.711,9.49,5.71,,10,8,,17,3,,6,7,,2545,2378,,,,.339,.382,.537,52.4,54.5,,5.0,.512,14.8,,.223
233,Pennsylvania,28,10,18,.357,-7.78,-3.33,,6,8,,3,11,,6,7,,1835,1935,,,,.389,.348,.509,48.1,63.5,,8.1,.471,18.1,,.265
234,Pepperdine,32,9,23,.281,-11.23,1.88,,5,9,,5,10,,2,11,,1974,2342,,,,.282,.292,.469,49.1,47.6,,8.7,.432,19.4,,.199
235,Pittsburgh NCAA,36,31,5,.861,21.21,8.61,,15,3,,19,0,,7,2,,2787,2320,,,,.328,.294,.555,56.6,60.9,,10.3,.530,14.8,,.222
236,Portland State NCAA,33,23,10,.697,1.14,-3.16,,11,5,,13,1,,7,7,,2417,2262,,,,.293,.440,.559,50.3,58.4,,7.3,.537,17.3,,.199
237,Portland,32,19,13,.594,2.89,-0.05,,9,5,,12,2,,5,10,,2249,2154,,,,.335,.355,.562,51.7,61.3,,6.4,.539,18.5,,.224
238,Prairie View,33,17,16,.515,-12.47,-9.81,,12,6,,11,2,,5,12,,2318,2235,,,,.378,.305,.509,51.5,50.7,,6.5,.480,17.4,,.239
239,Presbyterian,29,12,17,.414,,,,0,0,,9,2,,3,14,,1729,1867,,,91.4,.360,.366,.514,49.5,50.2,10.7,8.0,.481,22.3,29.5,.243
240,Princeton,27,13,14,.481,-7.82,-7.66,,8,6,,8,6,,5,8,,1561,1545,,,,.292,.389,.537,48.8,55.1,,8.3,.502,19.6,,.219
241,Providence,33,19,14,.576,7.82,7.23,,10,8,,13,5,,4,6,,2577,2531,,,,.395,.352,.539,50.5,54.1,,8.6,.506,16.7,,.268
242,Purdue NCAA,37,27,10,.730,16.44,7.17,,11,7,,18,3,,5,5,,2555,2212,,,,.332,.340,.533,49.5,60.4,,12.5,.500,15.1,,.233
243,Quinnipiac,31,15,16,.484,-9.16,-8.57,,10,8,,6,7,,9,7,,2058,2088,,,,.369,.249,.498,54.3,50.0,,6.6,.471,17.8,,.229
244,Radford NCAA,33,21,12,.636,-4.55,-4.37,,15,3,,12,5,,9,6,,2491,2372,,,,.430,.242,.539,54.2,52.7,,11.9,.504,18.9,,.292
245,Rhode Island,34,23,11,.676,7.89,1.21,,11,5,,12,2,,10,7,,2696,2469,,,,.341,.264,.560,51.8,54.6,,9.0,.532,15.9,,.238
246,Rice,32,10,22,.313,-5.05,3.18,,4,12,,5,10,,2,11,,2040,2273,,,,.333,.337,.521,47.2,61.8,,5.9,.489,17.8,,.230
247,Richmond,36,20,16,.556,2.61,1.08,,9,7,,11,7,,7,7,,2518,2431,,,,.331,.359,.544,46.5,47.6,,9.3,.518,15.7,,.224
248,Rider,32,19,13,.594,-2.63,-2.98,,12,6,,11,4,,7,8,,2303,2271,,,,.331,.340,.531,49.5,50.2,,9.5,.503,17.1,,.223
249,Robert Morris NCAA,35,24,11,.686,-0.70,-5.23,,15,3,,14,3,,9,7,,2467,2288,,,,.367,.308,.565,50.8,60.9,,9.9,.534,19.5,,.259
250,Rutgers,32,11,21,.344,1.07,6.60,,2,16,,8,10,,3,10,,2021,2131,,,,.322,.323,.502,51.4,49.0,,13.8,.463,19.7,,.231
251,Sacramento State,29,2,27,.069,-17.77,-2.29,,1,15,,2,11,,0,16,,1652,2100,,,,.354,.296,.493,45.3,51.9,,4.6,.454,20.1,,.245
252,Sacred Heart,31,17,14,.548,-4.40,-6.85,,12,6,,10,4,,7,10,,2277,2167,,,,.260,.345,.572,49.7,60.7,,9.8,.552,19.9,,.182
253,Saint Francis (PA),29,6,23,.207,-15.70,-6.24,,3,15,,4,8,,2,15,,1771,2041,,,,.347,.354,.524,49.5,63.3,,5.7,.484,21.5,,.254
254,Saint Joseph's,32,17,15,.531,4.21,2.21,,9,7,,7,6,,8,6,,2184,2120,,,,.402,.282,.533,50.2,62.4,,9.4,.487,17.3,,.295
255,Saint Louis,32,18,14,.563,1.02,0.99,,8,8,,14,3,,2,9,,1977,1944,,,,.384,.313,.521,50.8,54.7,,6.7,.483,17.5,,.267
256,Saint Mary's (CA),35,28,7,.800,9.52,1.49,,10,4,,15,1,,8,4,,2569,2243,,,,.385,.343,.536,54.8,52.4,,11.7,.500,15.4,,.267
257,Saint Peter's,30,11,19,.367,-8.39,-3.43,,8,10,,7,7,,4,11,,1780,1911,,,,.384,.275,.483,48.7,48.1,,12.3,.444,19.9,,.255
258,Sam Houston State,30,18,12,.600,-0.39,-2.59,,12,4,,11,4,,7,7,,2279,2078,,,,.413,.382,.552,52.4,71.1,,6.7,.515,17.9,,.290
259,Samford,32,16,16,.500,-8.28,-6.38,,9,11,,10,4,,4,12,,1972,1990,,,,.350,.501,.580,44.3,64.6,,3.9,.557,19.7,,.239
260,San Diego State,36,26,10,.722,11.54,4.74,,11,5,,16,2,,6,5,,2416,2147,,,,.340,.311,.533,51.6,53.8,,7.4,.499,16.8,,.240
261,San Diego,32,16,16,.500,-0.37,1.57,,6,8,,9,6,,4,7,,1973,1953,,,,.326,.275,.519,48.0,51.3,,10.1,.484,18.3,,.230
262,San Francisco,30,11,19,.367,-5.91,0.30,,3,11,,7,5,,3,13,,2030,2113,,,,.396,.362,.534,48.5,54.2,,6.2,.497,17.2,,.275
263,San Jose State,30,13,17,.433,-2.64,0.44,,6,10,,7,7,,5,10,,2024,2040,,,,.356,.246,.516,52.7,50.7,,7.8,.483,18.4,,.241
264,Santa Clara,33,16,17,.485,-0.55,0.41,,7,7,,11,3,,4,10,,2164,2119,,,,.368,.324,.553,53.7,54.6,,12.7,.519,21.9,,.260
265,Savannah State,29,15,14,.517,-12.95,-1.16,,,,,13,3,,2,11,,1733,1805,,,,.344,.256,.491,50.6,55.8,,6.5,.452,21.9,,.237
266,Seton Hall,32,17,15,.531,7.53,6.47,,7,11,,10,6,,4,7,,2376,2331,,,,.336,.313,.527,45.7,48.7,,8.5,.491,14.9,,.242
267,Siena NCAA,35,27,8,.771,8.05,0.99,,16,2,,17,0,,9,4,,2709,2462,,,,.357,.259,.537,49.7,53.0,,11.0,.510,15.5,,.237
268,South Alabama,33,20,13,.606,-2.62,-3.75,,10,8,,11,5,,6,7,,2301,2204,,,,.417,.228,.543,54.2,53.4,,13.9,.512,17.5,,.277
269,South Carolina State,31,17,14,.548,-10.31,-9.47,,10,6,,10,4,,5,8,,2166,2092,,,,.379,.265,.531,55.1,54.4,,8.7,.499,21.4,,.254
270,South Carolina Upstate,30,9,21,.300,,,,8,12,,7,4,,1,16,,1812,2055,,,91.2,.329,.321,.488,48.4,58.0,9.2,11.2,.455,20.3,32.1,.217
271,South Carolina,31,21,10,.677,8.78,4.20,,10,6,,16,3,,5,6,,2425,2209,,,,.337,.292,.526,48.2,38.3,,11.7,.503,15.4,,.216
272,South Dakota State,33,13,20,.394,-5.83,-1.45,,7,11,,10,3,,1,15,,2280,2346,,,,.343,.346,.534,50.9,48.1,,3.8,.500,16.6,,.241
273,South Florida,31,9,22,.290,2.63,8.18,,4,14,,7,7,,1,12,,1830,2002,,,,.349,.318,.473,49.5,58.1,,7.2,.447,16.7,,.209
274,Southeast Missouri State,30,3,27,.100,-18.72,-3.75,,0,18,,2,11,,0,15,,2035,2416,,,,.368,.274,.513,46.4,46.6,,7.9,.474,18.8,,.256
275,Southeastern Louisiana,30,13,17,.433,-6.22,-2.89,,7,9,,9,4,,4,12,,2127,2007,,,,.323,.307,.540,51.4,56.2,,10.9,.520,17.9,,.207
276,Southern California NCAA,35,22,13,.629,14.09,9.15,,9,9,,15,2,,2,8,,2397,2224,,,,.422,.215,.542,53.9,50.2,,13.1,.508,18.0,,.284
277,SIU Edwardsville,30,10,20,.333,,,,0,0,,0,0,,2,11,,2116,2292,,,,.306,.338,.529,44.8,52.4,,6.2,.501,11.4,,.210
278,Southern Illinois,31,13,18,.419,0.35,3.19,,8,10,,8,6,,5,8,,1966,2037,,,,.380,.320,.522,49.1,59.9,,7.2,.479,19.7,,.274
279,Southern Methodist,30,9,21,.300,-3.27,3.62,,3,13,,9,8,,0,12,,1937,2047,,,,.320,.311,.516,51.1,47.0,,10.0,.492,19.2,,.206
280,Southern Mississippi,32,15,17,.469,1.54,3.81,,4,12,,11,6,,1,8,,2136,2133,,,,.391,.203,.511,51.1,44.2,,5.6,.464,13.3,,.284
281,Southern Utah,31,11,20,.355,-5.44,-2.12,,8,10,,8,6,,2,13,,2017,2114,,,,.403,.248,.561,52.1,60.5,,3.0,.508,20.5,,.321
282,Southern,31,8,23,.258,-17.64,-11.50,,8,10,,6,7,,2,13,,1957,2173,,,,.378,.296,.490,52.3,47.8,,6.3,.454,20.8,,.247
283,St. Bonaventure,30,15,15,.500,-2.57,-1.12,,6,10,,8,6,,7,7,,2103,2135,,,,.370,.251,.523,52.5,57.2,,11.8,.492,20.3,,.247
284,St. Francis (NY),30,10,20,.333,-12.66,-6.66,,7,11,,6,6,,4,14,,1970,2128,,,,.336,.444,.521,46.4,55.5,,11.1,.496,20.1,,.217
285,St. John's (NY),34,16,18,.471,4.28,6.83,,6,12,,13,8,,1,10,,2242,2298,,,,.372,.244,.495,52.3,49.8,,9.5,.462,18.2,,.241
286,Stanford,34,20,14,.588,10.58,6.91,,6,12,,15,4,,4,9,,2488,2332,,,,.335,.335,.554,49.7,57.2,,5.7,.525,16.0,,.236
287,Stephen F. Austin NCAA,32,24,8,.750,1.10,-3.21,,13,3,,13,0,,6,7,,2099,1795,,,,.300,.313,.512,50.5,53.6,,8.6,.487,15.8,,.195
288,Stetson,30,13,17,.433,-6.88,1.17,,9,11,,10,4,,3,12,,1989,2058,,,,.300,.417,.476,49.6,44.2,,8.7,.449,17.1,,.192
289,Stony Brook,30,16,14,.533,-4.82,-6.49,,8,8,,7,7,,9,6,,1951,1828,,,,.362,.302,.502,50.9,43.1,,8.3,.465,16.7,,.246
290,Syracuse NCAA,38,28,10,.737,17.24,9.48,,11,7,,16,3,,5,5,,3046,2725,,,,.388,.326,.565,51.7,61.9,,12.5,.544,17.8,,.250
291,Temple NCAA,34,22,12,.647,9.05,3.90,,11,5,,9,2,,9,8,,2333,2158,,,,.287,.368,.538,52.2,62.3,,11.0,.511,16.4,,.201
292,Tennessee-Martin,32,22,10,.688,0.06,-4.90,,14,4,,12,3,,9,6,,2523,2242,,,,.322,.373,.548,50.7,51.9,,7.4,.513,15.1,,.237
293,Tennessee State,30,12,18,.400,-10.79,-4.47,,9,9,,8,6,,4,12,,2185,2353,,,,.400,.256,.537,49.5,54.0,,8.7,.502,18.8,,.274
294,Tennessee Tech,30,12,18,.400,-6.64,-4.68,,6,12,,8,7,,4,11,,2209,2189,,,,.323,.311,.525,49.6,50.6,,13.2,.496,18.4,,.219
295,Tennessee NCAA,34,21,13,.618,13.60,7.71,,10,6,,10,5,,6,5,,2665,2465,,,,.367,.346,.539,53.0,57.9,,10.1,.509,15.5,,.248
296,Texas A&M-Corpus Christi,33,18,15,.545,-3.49,-1.46,,11,5,,11,3,,6,11,,2255,2228,,,,.434,.314,.512,52.6,54.4,,10.6,.469,20.4,,.296
297,Texas A&M NCAA,34,24,10,.706,10.52,6.13,,9,7,,16,2,,5,5,,2440,2281,,,,.468,.306,.545,53.6,51.9,,9.9,.504,16.2,,.324
298,UT Arlington,30,16,14,.533,-2.37,-3.37,,9,7,,9,2,,7,10,,2341,2223,,,,.362,.341,.567,50.9,54.8,,6.8,.529,16.6,,.271
299,TCU,31,14,17,.452,2.23,3.96,,5,11,,10,5,,3,10,,1978,1988,,,,.374,.347,.528,49.8,57.0,,3.3,.484,18.3,,.274
300,UTEP,37,23,14,.622,6.67,3.21,,10,6,,13,5,,8,6,,2788,2660,,,,.464,.284,.519,50.8,54.1,,10.6,.468,14.6,,.332
301,Texas-Rio Grande Valley,27,10,17,.370,-13.68,-3.01,,,,,7,4,,2,10,,1763,1871,,,,.412,.284,.525,49.6,66.0,,5.2,.500,20.1,,.256
302,UTSA,32,19,13,.594,-4.67,-4.17,,8,8,,11,3,,6,9,,2404,2285,,,,.390,.408,.532,48.8,46.7,,5.5,.493,16.6,,.276
303,Texas Southern,32,7,25,.219,-16.56,-7.46,,7,11,,4,6,,3,16,,2063,2354,,,,.400,.228,.518,47.3,49.5,,6.3,.493,22.1,,.246
304,Texas State,30,14,16,.467,-4.73,-3.93,,7,9,,11,4,,2,10,,2445,2319,,,,.377,.332,.540,51.9,53.6,,7.2,.512,18.0,,.250
305,Texas Tech,33,14,19,.424,5.04,8.04,,3,13,,12,6,,0,11,,2563,2607,,,,.369,.318,.550,48.5,56.3,,6.9,.511,17.0,,.270
306,Texas NCAA,35,23,12,.657,14.83,8.09,,9,7,,13,2,,4,6,,2532,2296,,,,.386,.274,.519,53.4,48.9,,13.8,.485,15.3,,.258
307,Toledo,32,7,25,.219,-10.48,-0.96,,5,11,,6,7,,0,16,,1893,2173,,,,.336,.303,.497,48.8,50.1,,9.0,.467,22.4,,.219
308,Towson,34,12,22,.353,-7.30,-1.27,,5,13,,6,8,,4,12,,2213,2399,,,,.348,.355,.492,47.8,57.0,,11.8,.457,16.4,,.232
309,Troy,32,19,13,.594,-3.64,-4.22,,14,4,,11,3,,6,8,,2500,2470,,,,.305,.373,.556,48.7,49.9,,10.3,.531,15.0,,.213
310,Tulane,31,14,17,.452,-1.30,0.90,,7,9,,10,6,,2,11,,2017,2055,,,,.372,.268,.504,48.9,57.4,,8.6,.467,17.5,,.252
311,Tulsa,36,25,11,.694,8.41,4.84,,12,4,,15,2,,7,7,,2405,2210,,,,.405,.306,.536,54.3,46.9,,12.4,.499,18.5,,.282
312,UCLA NCAA,35,26,9,.743,18.64,7.19,,13,5,,16,2,,6,4,,2642,2241,,,,.312,.332,.583,52.6,55.9,,8.6,.557,16.3,,.226
313,Utah State NCAA,35,30,5,.857,9.33,0.07,,14,2,,17,0,,11,3,,2534,2169,,,,.383,.311,.591,55.4,63.0,,6.8,.557,15.5,,.284
314,Utah Valley,28,17,11,.607,,,,,,,12,4,,4,7,,1981,1787,,,110.4,.393,.351,.579,53.2,55.0,6.6,5.5,.536,17.2,32.2,.302
315,Utah NCAA,34,24,10,.706,12.59,5.72,,12,4,,13,2,,6,7,,2421,2195,,,,.401,.379,.589,53.7,55.9,,12.1,.544,18.6,,.313
316,Valparaiso,31,9,22,.290,-4.43,2.22,,5,13,,8,6,,1,12,,1900,2031,,,,.344,.387,.507,48.7,59.4,,5.7,.484,19.9,,.210
317,Vanderbilt,31,19,12,.613,8.18,3.81,,8,8,,14,4,,3,7,,2185,2033,,,,.438,.342,.551,53.4,52.6,,11.5,.509,19.0,,.314
318,Vermont,33,24,9,.727,4.64,-4.27,,13,3,,12,3,,10,5,,2533,2222,,,,.453,.275,.568,50.3,58.7,,12.7,.532,17.8,,.317
319,Villanova NCAA,38,30,8,.789,17.45,8.72,,13,5,,16,2,,8,3,,2919,2560,,,,.419,.320,.555,53.5,55.7,,10.3,.508,16.1,,.316
320,Virginia Commonwealth NCAA,34,24,10,.706,7.70,-0.65,,14,4,,16,1,,7,6,,2440,2156,,,,.367,.320,.553,49.5,54.2,,12.2,.520,16.3,,.259
321,VMI,32,24,8,.750,-3.30,-7.49,,13,5,,13,3,,10,5,,3002,2737,,,,.326,.537,.570,42.3,57.6,,6.9,.539,14.6,,.240
