,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
163,Mississippi Valley State,27,14,13,.519,-13.76,-12.01,,10,6,,,,,,,,1969,2002,,,729,1860,.392,176,529,.333,335,519,.645,496,1189,297,236,187,491,551
164,Mississippi NCAA,33,20,13,.606,14.97,8.30,,8,8,,,,,,,,2540,2214,,,911,1946,.468,193,606,.318,525,836,.628,423,1197,545,326,133,496,678
165,Kansas City,30,8,22,.267,-8.47,-2.77,,3,11,,,,,,,,2129,2264,,,751,1713,.438,141,425,.332,486,693,.701,358,1101,429,196,48,468,584
166,Missouri State NCAA,33,22,11,.667,13.82,6.51,,11,7,,,,,,,,2414,2173,,,837,1821,.460,179,491,.365,561,789,.711,351,1160,500,299,139,468,567
167,Missouri NCAA,29,20,9,.690,12.50,3.99,,11,5,,,,,,,,2081,1834,,,741,1667,.445,180,474,.380,419,647,.648,335,1092,411,256,107,424,519
168,Monmouth,26,5,21,.192,-15.20,-7.72,,5,15,,,,,,,,1632,1821,,,595,1361,.437,123,370,.332,319,479,.666,267,760,329,258,83,438,499
169,Montana State,29,16,13,.552,0.07,-1.51,,9,7,,,,,,,,2263,2181,,,821,1688,.486,224,576,.389,397,549,.723,263,1027,583,132,63,439,509
170,Montana,27,13,14,.481,-2.95,-2.99,,6,10,,,,,,,,1940,1865,,,664,1474,.450,157,410,.383,455,647,.703,339,1023,383,175,57,459,519
171,Morehead State,28,13,15,.464,-8.74,-5.01,,9,9,,,,,,,,2149,2198,,,774,1698,.456,209,545,.383,392,548,.715,347,922,477,262,68,483,558
172,Morgan State,28,14,14,.500,-14.69,-9.62,,12,6,,,,,,,,1861,1999,,,682,1681,.406,157,484,.324,340,550,.618,360,1008,375,216,153,416,510
173,Mount St. Mary's NCAA,30,15,15,.500,-7.35,-6.35,,10,10,,,,,,,,2049,2079,,,756,1764,.429,198,587,.337,339,492,.689,341,1008,420,248,122,441,554
174,Murray State NCAA,33,27,6,.818,6.76,-5.24,,16,2,,,,,,,,2590,2215,,,961,2050,.469,188,546,.344,480,705,.681,521,1355,503,275,111,495,574
175,Navy,27,20,7,.741,-0.29,-7.58,,9,3,,,,,,,,1933,1697,,,740,1623,.456,89,299,.298,364,609,.598,425,1178,418,298,152,525,552
176,Nebraska,33,20,13,.606,7.61,5.92,,10,6,,,,,,,,2177,2121,,,799,1764,.453,113,365,.310,466,716,.651,386,1169,490,359,158,597,585
177,Nevada-Las Vegas,29,16,13,.552,8.78,4.53,,9,5,,,,,,,,2163,1997,,,787,1711,.460,175,547,.320,414,652,.635,363,1088,504,262,133,437,514
178,Nevada,26,8,18,.308,-9.78,-1.46,,4,12,,,,,,,,1775,1955,,,651,1472,.442,139,415,.335,334,531,.629,308,923,365,169,91,464,471
179,New Hampshire,27,4,23,.148,-21.26,-7.37,,2,16,,,,,,,,1733,2108,,,599,1511,.396,220,612,.359,315,450,.700,304,968,344,135,98,470,574
180,New Mexico State NCAA,33,23,10,.697,2.36,-0.68,,12,4,,,,,,,,2273,2147,,,817,1762,.464,201,535,.376,438,665,.659,387,1129,417,230,87,459,576
181,New Mexico NCAA,34,25,9,.735,7.84,0.62,,9,5,,,,,,,,2556,2305,,,889,1906,.466,247,667,.370,531,707,.751,376,1220,482,224,111,429,463
182,New Orleans,30,14,16,.467,-4.63,-1.50,,5,9,,,,,,,,1824,1918,,,656,1560,.421,147,471,.312,365,545,.670,,949,364,231,118,465,577
183,Niagara,29,17,12,.586,-3.89,-4.51,,13,5,,,,,,,,2341,2323,,,793,1873,.423,198,599,.331,557,766,.727,458,1109,404,254,86,461,678
184,Nicholls State,29,14,15,.483,-7.90,-6.10,,12,6,,,,,,,,1958,1964,,,712,1679,.424,124,425,.292,410,658,.623,406,1107,422,271,74,498,546
185,Norfolk State,27,15,12,.556,-10.60,-12.08,,11,7,,,,,,,,2330,2288,,,874,1817,.481,141,395,.357,441,653,.675,399,961,372,253,89,403,602
186,UNC Asheville,29,11,18,.379,-13.24,-4.74,,5,5,,,,,,,,2144,2314,,,756,1596,.474,132,368,.359,500,697,.717,364,1019,476,226,88,543,592
187,North Carolina A&T,28,13,15,.464,-13.53,-9.72,,9,9,,,,,,,,1902,1971,,,674,1570,.429,146,417,.350,408,676,.604,408,961,293,198,76,466,555
188,UNC Greensboro,27,7,20,.259,-14.99,-6.02,,5,11,,,,,,,,1755,1998,,,629,1497,.420,121,324,.373,376,544,.691,320,965,353,197,99,510,551
189,NC State,33,19,14,.576,12.14,6.87,,6,10,,,,,,,,2363,2169,,,798,1757,.454,185,503,.368,582,859,.678,461,1186,410,256,127,559,637
190,UNC Wilmington,28,11,17,.393,-1.81,0.04,,9,7,,,,,,,,1686,1742,,,614,1501,.409,143,421,.340,315,488,.645,343,976,320,150,67,361,557
191,North Carolina NCAA,34,24,10,.706,16.77,10.24,,10,6,,,,,,,,2428,2206,,,868,1841,.471,175,460,.380,517,720,.718,435,1358,541,192,134,530,505
192,North Texas,26,4,22,.154,-13.58,1.31,,4,12,,,,,,,,1860,2247,,,687,1770,.388,175,617,.284,311,473,.658,396,958,303,217,65,429,475
193,Northeastern,28,10,18,.357,-13.36,-6.86,,6,12,,,,,,,,1927,2109,,,702,1588,.442,146,413,.354,377,533,.707,295,889,293,228,106,434,551
194,Northern Arizona,29,21,8,.724,5.19,-3.01,,12,4,,,,,,,,2238,1935,,,783,1497,.523,243,546,.445,429,571,.751,249,945,477,173,73,469,473
195,Northern Illinois,26,6,20,.231,-6.91,-0.79,,2,16,,,,,,,,1560,1719,,,560,1396,.401,127,394,.322,311,451,.690,302,914,276,160,56,427,482
196,Northern Iowa,27,9,18,.333,3.68,5.83,,6,12,,,,,,,,1903,1961,,,645,1410,.457,167,430,.388,446,606,.736,238,839,320,210,43,420,478
197,Northwestern State,26,11,15,.423,-12.80,-7.76,,8,10,,,,,,,,1770,1810,,,642,1588,.404,137,403,.340,349,515,.678,385,948,381,264,42,482,619
198,Northwestern,29,15,14,.517,10.81,9.09,,6,10,,,,,,,,1741,1655,,,584,1354,.431,201,536,.375,372,537,.693,248,971,445,131,107,435,526
199,Notre Dame,30,14,16,.467,5.18,6.97,,8,10,,,,,,,,2168,2226,,,782,1656,.472,127,382,.332,477,686,.695,341,1088,516,221,90,566,540
200,Ohio State NCAA,36,27,9,.750,19.03,9.51,,12,4,,,,,,,,2695,2334,,,986,2108,.468,218,611,.357,505,826,.611,478,1303,498,297,148,509,651
201,Ohio,28,18,10,.643,9.11,2.45,,12,6,,,,,,,,2127,1897,,,732,1564,.468,159,474,.335,504,731,.689,374,1096,448,215,103,473,567
202,Oklahoma State NCAA,34,23,11,.676,12.61,5.95,,10,6,,,,,,,,2431,2145,,,851,1920,.443,232,643,.361,497,709,.701,412,1201,578,262,99,450,577
203,Oklahoma NCAA,33,22,11,.667,13.28,4.97,,11,5,,,,,,,,2246,1980,,,776,1844,.421,274,707,.388,420,645,.651,428,1220,448,229,124,462,611
204,Old Dominion,34,25,9,.735,4.54,-1.62,,11,5,,,,,,,,2431,2200,,,858,1915,.448,220,610,.361,495,711,.696,420,1376,532,250,248,541,615
205,Oral Roberts,28,17,11,.607,0.45,-2.86,,10,4,,,,,,,,2166,2063,,,782,1625,.481,200,526,.380,402,588,.684,323,993,457,219,68,435,531
206,Oregon State,27,13,14,.481,5.80,7.16,,7,11,,,,,,,,1747,1744,,,618,1433,.431,161,460,.350,350,567,.617,304,998,339,173,97,426,494
207,Oregon,32,19,13,.594,11.35,8.86,,8,10,,,,,,,,2415,2318,,,839,1905,.440,243,669,.363,494,719,.687,416,1278,526,194,111,543,682
208,Pacific,27,14,13,.519,-3.47,-3.47,,9,7,,,,,,,,1850,1762,,,626,1422,.440,226,594,.380,372,509,.731,311,979,417,122,60,390,454
209,Penn State,27,13,14,.481,11.15,8.59,,5,11,,,,,,,,1870,1801,,,649,1453,.447,197,560,.352,373,500,.746,271,886,417,175,131,390,479
210,Pennsylvania NCAA,27,21,6,.778,6.28,-4.13,,13,1,,,,,,,,1921,1640,,,689,1469,.469,208,529,.393,335,515,.650,297,995,412,149,81,350,432
211,Pepperdine,32,19,13,.594,3.16,1.86,,9,5,,,,,,,,2101,2023,,,771,1700,.454,132,427,.309,427,653,.654,356,1098,441,215,117,544,631
212,Pittsburgh,30,14,16,.467,4.06,7.23,,5,13,,,,,,,,2017,2112,,,758,1822,.416,159,518,.307,342,488,.701,406,1072,405,338,122,491,557
213,Portland State,28,17,11,.607,-0.93,-2.85,,9,7,,,,,,,,2216,2075,,,747,1666,.448,250,682,.367,472,657,.718,328,1036,481,168,48,371,523
214,Portland,27,9,18,.333,-5.61,0.31,,3,11,,,,,,,,1820,1878,,,658,1524,.432,135,405,.333,369,561,.658,324,855,373,266,86,443,492
215,Prairie View,27,6,21,.222,-25.39,-9.16,,4,12,,,,,,,,1974,2296,,,709,1871,.379,178,593,.300,378,667,.567,541,1241,299,270,108,560,614
216,Princeton,30,22,8,.733,4.30,-4.24,,11,3,,,,,,,,1858,1581,,,647,1414,.458,229,678,.338,335,453,.740,271,893,449,252,104,362,434
217,Providence,30,16,14,.533,8.28,8.31,,9,9,,,,,,,,2284,2285,,,805,1928,.418,170,549,.310,504,707,.713,443,1065,480,336,65,473,642
218,Purdue NCAA,34,21,13,.618,13.23,10.44,,7,9,,,,,,,,2328,2233,,,813,1853,.439,183,576,.318,519,774,.671,437,1143,482,274,109,511,549
219,Quinnipiac,27,9,18,.333,-17.40,-7.44,,6,14,,,,,,,,1837,2067,,,641,1469,.436,136,408,.333,419,615,.681,291,958,380,183,57,534,534
220,Radford,28,20,8,.714,-6.37,-9.24,,8,2,,,,,,,,2195,2012,,,758,1664,.456,202,622,.325,477,698,.683,354,956,436,340,88,446,538
221,Rhode Island NCAA,33,20,13,.606,9.56,5.62,,10,6,,,,,,,,2377,2245,,,881,1912,.461,130,380,.342,485,731,.663,474,1322,468,194,149,493,554
222,Rice,28,18,10,.643,6.81,1.73,,8,6,,,,,,,,1911,1737,,,641,1475,.435,179,501,.357,450,686,.656,307,1041,373,190,79,409,506
223,Richmond,27,15,12,.556,-2.29,-3.43,,10,6,,,,,,,,1816,1785,,,647,1447,.447,169,469,.360,353,491,.719,276,894,347,153,110,365,428
224,Rider,28,12,16,.429,-3.93,-4.93,,7,11,,,,,,,,2053,2025,,,703,1543,.456,181,473,.383,466,670,.696,349,1003,438,215,80,476,567
225,Robert Morris,27,15,12,.556,-6.63,-8.24,,12,8,,,,,,,,1951,1870,,,675,1529,.441,149,423,.352,452,594,.761,298,973,381,215,40,486,542
226,Rutgers,32,19,13,.594,12.22,7.22,,9,9,,,,,,,,2248,2088,,,740,1663,.445,198,548,.361,570,808,.705,364,1148,466,260,85,,572
227,Sacramento State,26,3,23,.115,-18.42,-0.69,,3,13,,,,,,,,1568,2029,,,598,1570,.381,179,548,.327,193,348,.555,309,879,333,198,104,441,438
228,Saint Francis (PA),26,9,17,.346,-12.80,-8.30,,7,13,,,,,,,,1751,1868,,,634,1476,.430,151,461,.328,332,530,.626,315,849,359,219,71,440,507
229,Saint Joseph's,30,12,18,.400,2.19,5.05,,5,11,,,,,,,,1981,2028,,,700,1759,.398,161,474,.340,420,666,.631,480,1173,396,180,116,,580
230,Saint Louis,31,15,16,.484,8.90,7.32,,8,8,,,,,,,,2024,1975,,,712,1684,.423,186,538,.346,414,607,.682,382,1033,430,260,79,489,576
231,Saint Mary's (CA),31,13,18,.419,-2.50,0.20,,5,9,,,,,,,,2108,2182,,,709,1738,.408,267,737,.362,420,601,.699,402,1176,440,171,45,,614
232,Saint Peter's,29,14,15,.483,-6.38,-5.04,,10,8,,,,,,,,2021,2060,,,761,1704,.447,95,276,.344,404,607,.666,398,1032,450,257,97,472,604
233,Sam Houston State,26,10,16,.385,-12.87,-5.95,,7,11,,,,,,,,1832,1990,,,653,1534,.426,151,489,.309,375,531,.706,292,955,388,189,54,455,545
234,Samford NCAA,30,24,6,.800,0.26,-9.07,,15,1,,,,,,,,2188,1881,,,729,1487,.490,278,762,.365,452,657,.688,248,891,482,235,94,432,539
235,San Diego State,26,4,22,.154,-11.91,2.01,,2,12,,,,,,,,1745,2039,,,615,1498,.411,131,437,.300,384,627,.612,321,844,333,206,58,452,468
236,San Diego,27,18,9,.667,3.45,-0.87,,9,5,,,,,,,,1823,1677,,,619,1323,.468,152,424,.358,433,593,.730,266,931,385,143,53,407,454
237,San Francisco,30,12,18,.400,-2.94,2.37,,4,10,,,,,,,,1905,2043,,,649,1629,.398,166,526,.316,441,659,.669,420,1097,367,223,103,514,617
238,San Jose State,28,12,16,.429,-0.10,0.61,,5,9,,,,,,,,1827,1805,,,662,1505,.440,132,365,.362,371,588,.631,336,920,397,197,53,420,623
239,Santa Clara,29,14,15,.483,-1.72,1.60,,8,6,,,,,,,,1886,1982,,,639,1513,.422,143,412,.347,465,652,.713,318,993,354,135,63,414,552
240,Seton Hall,30,15,15,.500,9.41,8.03,,8,10,,,,,,,,2029,1927,,,718,1714,.419,162,507,.320,432,592,.730,399,1097,430,225,127,443,555
241,Siena NCAA,31,25,6,.806,2.04,-4.90,,13,5,,,,,,,,2686,2475,,,884,1966,.450,246,662,.372,672,854,.787,444,1223,495,321,115,584,757
242,South Alabama,27,11,16,.407,-4.23,0.85,,6,8,,,,,,,,1611,1728,,,595,1346,.442,90,293,.307,331,524,.632,302,889,410,189,30,469,494
243,South Carolina State,29,17,12,.586,-11.73,-9.32,,14,4,,,,,,,,1905,1972,,,655,1673,.392,180,511,.352,415,635,.654,506,1156,328,176,131,463,558
244,South Carolina,29,8,21,.276,0.66,8.21,,3,13,,,,,,,,1745,1964,,,622,1563,.398,168,503,.334,333,497,.670,375,1009,333,191,89,471,456
245,South Florida,28,14,14,.500,8.08,4.15,,6,10,,,,,,,,2006,1896,,,746,1716,.435,130,436,.298,385,652,.590,420,1185,423,293,106,,552
246,Southeast Missouri State,29,20,9,.690,0.99,-4.49,,15,3,,,,,,,,2044,1834,,,718,1594,.450,167,491,.340,441,611,.722,350,1091,398,183,117,451,527
247,Southeastern Louisiana,26,6,20,.231,-21.98,-6.56,,3,15,,,,,,,,1825,2158,,,647,1600,.404,175,498,.351,356,563,.632,330,1025,323,182,84,545,549
248,Southern California,28,15,13,.536,11.28,7.64,,7,11,,,,,,,,2123,2021,,,752,1706,.441,182,529,.344,437,630,.694,348,1047,437,264,124,467,574
249,Southern Illinois,27,15,12,.556,7.33,5.44,,10,8,,,,,,,,1746,1695,,,611,1525,.401,213,642,.332,311,496,.627,369,996,410,202,61,437,520
250,Southern Methodist,30,15,15,.500,2.06,2.74,,7,7,,,,,,,,2236,2232,,,788,1970,.400,190,631,.301,470,732,.642,504,1267,355,248,123,423,595
251,Southern Mississippi,30,14,16,.467,4.31,3.11,,6,10,,,,,,,,1871,1835,,,650,1531,.425,126,400,.315,445,626,.711,336,1013,366,202,90,432,563
252,Southern Utah,30,13,17,.433,-7.62,-3.12,,6,8,,,,,,,,2193,2264,,,766,1690,.453,200,573,.349,461,652,.707,330,1046,454,219,123,446,512
253,Southern,28,21,7,.750,-7.15,-13.86,,13,3,,,,,,,,2372,2191,,,844,1876,.450,142,436,.326,542,791,.685,475,1188,401,324,108,478,627
254,St. Bonaventure,29,14,15,.483,0.96,1.99,,8,8,,,,,,,,1860,1890,,,684,1675,.408,127,492,.258,365,553,.660,425,1056,330,283,135,479,519
255,St. Francis (NY),28,20,8,.714,-3.68,-7.64,,16,4,,,,,,,,2246,2125,,,767,1733,.443,232,660,.352,480,712,.674,363,997,455,315,84,471,634
256,St. John's (NY) NCAA,37,28,9,.757,22.69,9.07,,14,4,,,,,,,,2924,2420,,,1070,2333,.459,226,633,.357,558,818,.682,585,1503,617,365,121,499,613
257,Stanford NCAA,33,26,7,.788,22.23,10.36,,15,3,,,,,,,,2425,2006,,,801,1830,.438,194,563,.345,629,891,.706,460,1342,515,187,96,435,552
258,Stephen F. Austin,26,4,22,.154,-16.59,-6.19,,2,16,,,,,,,,1794,2036,,,677,1597,.424,125,381,.328,315,492,.640,316,952,424,241,64,474,518
259,Stetson,27,14,13,.519,-8.14,-9.59,,10,6,,,,,,,,1860,1778,,,674,1518,.444,106,300,.353,406,577,.704,402,1039,371,193,64,409,484
260,Syracuse NCAA,33,21,12,.636,15.84,7.63,,10,8,,,,,,,,2387,2086,,,879,1963,.448,184,591,.311,445,671,.663,485,1310,538,328,229,541,590
261,Temple NCAA,35,24,11,.686,17.06,8.97,,13,3,,,,,,,,2331,2048,,,821,1985,.414,227,735,.309,462,706,.654,510,1273,447,349,128,374,527
262,Tennessee-Martin,26,8,18,.308,-13.96,-3.35,,5,13,,,,,,,,1666,1864,,,609,1286,.474,180,518,.347,268,363,.738,184,713,414,198,75,452,379
263,Tennessee State,27,12,15,.444,-10.32,-5.19,,9,9,,,,,,,,1918,1986,,,698,1699,.411,171,521,.328,351,537,.654,439,1037,345,194,73,409,551
264,Tennessee Tech,27,12,15,.444,-10.09,-5.13,,8,10,,,,,,,,1814,1874,,,599,1461,.410,197,567,.347,419,581,.721,306,928,326,179,56,422,500
265,Tennessee NCAA,30,21,9,.700,14.18,6.55,,12,4,,,,,,,,2178,1949,,1205,720,1704,.423,201,606,.332,537,771,.696,399,1160,410,262,190,484,552
266,Texas A&M,27,12,15,.444,-0.73,3.05,,5,11,,,,,,,,1871,1973,,,625,1519,.411,162,522,.310,459,666,.689,347,994,381,217,73,481,574
267,UT Arlington,26,10,16,.385,-11.24,-7.49,,8,10,,,,,,,,1850,1931,,,663,1555,.426,151,441,.342,373,538,.693,344,969,396,229,47,427,487
268,TCU,32,21,11,.656,10.00,4.90,,7,7,,,,,,,,2776,2593,,,1006,2050,.491,228,588,.388,536,783,.685,429,1269,650,248,130,489,599
269,UTEP,28,16,12,.571,4.27,1.23,,8,6,,,,,,,,1934,1831,,,632,1399,.452,163,445,.366,507,717,.707,296,945,364,168,69,876,478
270,Texas-Rio Grande Valley,27,5,22,.185,-8.07,0.67,,,,,,,,,,,1988,2224,,,751,1790,.420,217,645,.336,269,397,.678,353,918,387,272,48,469,568
271,UTSA NCAA,29,18,11,.621,-6.27,-6.83,,12,6,,,,,,,,2247,2188,,,804,1697,.474,196,569,.344,443,719,.616,350,1037,469,233,123,481,553
272,Texas Southern,27,8,19,.296,-18.13,-9.22,,6,10,,,,,,,,1748,1918,,,618,1495,.413,103,406,.254,409,594,.689,316,938,318,236,51,466,536
273,Texas State,28,19,9,.679,-2.90,-8.01,,13,5,,,,,,,,1991,1767,,,710,1655,.429,135,412,.328,436,648,.673,403,1191,353,219,75,408,546
274,Texas Tech,30,13,17,.433,-0.24,3.16,,5,11,,,,,,,,2109,2211,,,729,1618,.451,178,455,.391,473,687,.689,337,1115,432,204,139,582,540
275,Texas NCAA,32,19,13,.594,10.89,7.20,,13,3,,,,,,,,2189,2076,,,748,1763,.424,153,472,.324,540,831,.650,456,1247,369,261,162,516,543
276,Toledo,28,19,9,.679,8.38,3.02,,11,7,,,,,,,,1983,1774,,,676,1493,.453,154,459,.336,477,690,.691,325,961,350,250,46,440,541
277,Towson,28,6,22,.214,-14.94,-5.15,,4,14,,,,,,,,1663,1937,,,601,1474,.408,134,432,.310,327,476,.687,313,881,355,209,60,448,523
278,Troy,27,9,18,.333,-16.23,-8.43,,6,10,,,,,,,,2051,2230,,,701,1717,.408,229,716,.320,420,584,.719,326,944,338,212,40,371,547
279,Tulane,27,12,15,.444,1.91,2.99,,6,10,,,,,,,,1906,1935,,,673,1580,.426,139,414,.336,421,653,.645,401,995,349,279,85,467,546
280,Tulsa NCAA,33,23,10,.697,10.74,4.46,,9,5,,,,,,,,2319,2102,,,776,1785,.435,223,633,.352,544,826,.659,429,1274,462,291,185,593,670
281,UCLA NCAA,31,22,9,.710,15.28,8.86,,12,6,,,,,,,,2392,2191,,,899,1981,.454,163,497,.328,431,723,.596,479,1197,487,308,113,527,720
282,Utah State,28,15,13,.536,0.15,-2.29,,8,8,,,,,,,,2006,1903,,,740,1551,.477,143,409,.350,383,588,.651,351,1033,391,166,68,444,445
283,Utah NCAA,33,28,5,.848,17.83,3.17,,14,0,,,,,,,,2352,1827,,,863,1808,.477,212,615,.345,414,592,.699,407,1188,527,237,122,388,563
284,Valparaiso NCAA,32,23,9,.719,4.40,-3.64,,10,4,,,,,,,,2326,2046,,,835,1776,.470,209,616,.339,447,632,.707,412,1217,525,204,146,501,556
285,Vanderbilt,29,14,15,.483,5.89,6.82,,5,11,,,,,,,,2091,2075,,,717,1724,.416,242,674,.359,415,594,.699,394,1052,401,258,61,473,526
286,Vermont,27,11,16,.407,-10.68,-8.46,,7,11,,,,,,,,1764,1824,,,625,1621,.386,148,473,.313,366,551,.664,382,1001,321,185,91,361,506
287,Villanova NCAA,32,21,11,.656,12.01,7.88,,10,8,,,,,,,,2399,2262,,,834,1867,.447,224,622,.360,507,693,.732,420,1183,484,232,146,491,558
288,Virginia Commonwealth,31,15,16,.484,-2.01,-2.24,,8,8,,,,,,,,2221,2214,,,782,1893,.413,241,667,.361,416,617,.674,464,1213,408,231,133,497,561
289,VMI,27,12,15,.444,-13.97,-4.79,,9,7,,,,,,,,1897,2020,,,674,1649,.409,144,491,.293,405,598,.677,319,914,368,297,77,463,566
290,Virginia Tech,28,13,15,.464,0.77,1.52,,7,9,,,,,,,,1829,1850,,,667,1558,.428,157,434,.362,338,534,.633,376,985,337,172,155,448,529
291,Virginia,30,14,16,.467,6.98,9.12,,4,12,,,,,,,,2183,2210,,,745,1761,.423,203,637,.319,490,668,.734,348,992,411,257,156,459,599
292,Wagner,27,9,18,.333,-12.15,-7.23,,7,13,,,,,,,,1805,1928,,,625,1479,.423,143,424,.337,412,648,.636,350,970,415,228,132,521,521
293,Wake Forest,31,17,14,.548,9.79,8.11,,7,9,,,,,,,,2066,2014,,,699,1622,.431,191,554,.345,477,662,.721,318,1036,355,190,64,454,597
294,Washington State,29,10,19,.345,2.96,8.82,,4,14,,,,,,,,2116,2274,,,691,1643,.421,202,545,.371,532,751,.708,332,967,325,238,75,507,684
295,Washington NCAA,29,17,12,.586,11.64,10.04,,10,8,,,,,,,,2152,2073,,,749,1571,.477,142,408,.348,512,768,.667,302,1030,445,188,93,473,490
296,Weber State NCAA,33,25,8,.758,5.29,0.19,,13,3,,,,,,,,2611,2409,,,947,1978,.479,211,559,.377,506,716,.707,431,1182,525,311,89,492,581
297,West Virginia,29,10,19,.345,2.98,8.55,,4,14,,,,,,,,1934,2063,,,723,1676,.431,141,433,.326,347,543,.639,424,1013,416,260,118,491,579
298,Western Carolina,29,8,21,.276,-22.01,-2.25,,2,14,,,,,,,,1854,2292,,,643,1627,.395,185,582,.318,383,595,.644,300,973,362,205,57,524,592
299,Western Illinois,28,16,12,.571,-3.80,-3.72,,9,5,,,,,,,,2025,2019,,,712,1542,.462,180,492,.366,421,636,.662,351,1012,455,171,55,443,546
300,Western Kentucky,29,13,16,.448,-1.37,1.06,,7,7,,,,,,,,1862,1927,,,646,1508,.428,160,483,.331,410,577,.711,301,930,334,215,40,475,605
301,Western Michigan,26,11,15,.423,-1.30,3.70,,6,12,,,,,,,,1823,1924,,,626,1445,.433,136,419,.325,435,568,.766,302,855,333,204,64,437,496
302,Wichita State,30,13,17,.433,1.46,3.32,,6,12,,,,,,,,2092,2117,,,719,1593,.451,217,569,.381,437,634,.689,358,997,465,209,66,522,741
303,William & Mary,27,8,19,.296,-10.41,-3.57,,3,13,,,,,,,,1742,1852,,,642,1542,.416,180,548,.328,278,419,.663,287,918,338,183,93,425,506
304,Winthrop NCAA,29,21,8,.724,-6.67,-8.71,,9,1,,,,,,,,1995,1832,,,673,1558,.432,196,561,.349,453,692,.655,366,1034,414,215,79,440,549
305,Wisconsin NCAA,32,22,10,.688,17.29,10.38,,9,7,,,,,,,,1987,1766,,,685,1573,.435,204,572,.357,413,558,.740,274,948,433,224,78,377,587
306,Wofford,27,11,16,.407,-9.95,-5.59,,8,8,,,,,,,,1875,1912,,,663,1559,.425,175,479,.365,374,546,.685,290,907,355,238,89,367,508
307,Wright State,27,9,18,.333,-5.37,-1.83,,4,10,,,,,,,,1859,1924,,,658,1530,.430,99,323,.307,444,640,.694,352,1001,340,213,120,471,474
308,Wyoming,28,18,10,.643,7.05,1.98,,7,7,,,,,,,,2286,2144,,,802,1876,.428,188,598,.314,494,761,.649,428,1215,540,264,102,433,589
309,Xavier,36,25,11,.694,12.94,3.89,,12,4,,,,,,,,2783,2457,,,926,2080,.445,275,791,.348,656,893,.735,483,1305,496,327,141,573,708
310,Yale,26,4,22,.154,-18.13,-9.01,,2,12,,,,,,,,1543,1742,,,564,1346,.419,137,442,.310,278,422,.659,287,870,298,165,59,421,447
311,Youngstown State,28,14,14,.500,-2.95,-4.61,,9,5,,,,,,,,1890,1810,,,701,1606,.436,185,523,.354,303,426,.711,368,1002,437,210,88,407,513
