,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Hofstra,28,10,18,.357,-8.81,-4.55,,5,11,,,,,,,,1976,2072,,,,.412,.320,.515,47.0,54.3,,5.1,.476,19.1,,.279
102,Holy Cross,27,15,12,.556,-8.05,-9.79,,9,5,,,,,,,,2091,2044,,,,.411,.333,.524,46.5,51.9,,11.5,.490,17.5,,.273
103,Houston,28,9,19,.321,-5.85,2.45,,5,9,,,,,,,,2146,2340,,,,.395,.295,.515,48.9,53.4,,9.2,.478,19.4,,.267
104,Howard,27,9,18,.333,-18.66,-10.95,,8,8,,,,,,,,1907,2115,,,,.344,.255,.476,48.3,44.4,,7.3,.438,17.0,,.231
105,Idaho State,28,18,10,.643,4.31,0.02,,7,7,,,,,,,,2248,2015,,,,.512,.237,.553,50.9,56.9,,6.8,.508,17.6,,.359
106,Idaho,27,12,15,.444,-1.33,4.09,,6,8,,,,,,,,1851,1941,,,,.376,.296,.529,50.5,53.7,,3.3,.501,18.5,,.244
107,Illinois-Chicago,27,18,9,.667,1.69,-3.16,,11,4,,,,,,,,2248,2101,,,,.316,.347,.529,48.7,57.4,,7.9,.494,14.5,,.229
108,Illinois State,33,20,13,.606,4.04,3.36,,13,5,,,,,,,,2511,2480,,,,.427,.279,.559,49.7,65.7,,5.1,.519,17.9,,.307
109,Illinois NCAA,31,19,12,.613,11.97,7.71,,10,8,,,,,,,,2265,2125,,,,.377,.249,.521,54.3,48.2,,4.3,.492,16.4,,.245
110,Indiana State,26,7,19,.269,-4.85,0.83,,3,15,,,,,,,,1880,1995,,,,.422,.280,.517,48.4,59.5,,7.0,.480,20.0,,.284
111,Indiana NCAA,31,19,12,.613,14.83,9.03,,11,7,,,,,,,,2345,2158,,,,.416,.165,.545,51.8,56.0,,11.0,.514,18.1,,.277
112,Iona,27,10,17,.370,-6.85,-5.18,,6,8,,,,,,,,2035,2080,,,,.358,.232,.532,51.3,56.4,,8.4,.501,,,.242
113,Iowa State NCAA,34,23,11,.676,16.57,9.70,,6,8,,,,,,,,2607,2298,,,,.424,.238,.571,52.0,67.3,,7.5,.526,17.1,,.321
114,Iowa,33,21,12,.636,15.91,6.54,,9,9,,,,,,,,2757,2460,,,,.425,.365,.564,51.4,59.4,,7.0,.527,16.8,,.301
115,Jackson State,31,12,19,.387,-9.17,-5.85,,7,7,,,,,,,,2390,2477,,,,.324,.243,.506,50.0,53.6,,8.5,.488,20.1,,.194
116,Jacksonville,27,18,9,.667,-0.46,-2.92,,12,6,,,,,,,,2062,1984,,,,.406,.240,.518,51.4,50.7,,8.0,.492,18.4,,.252
117,James Madison,29,16,13,.552,0.18,-3.58,,9,5,,,,,,,,2276,2173,,,,.396,.300,.574,49.0,43.7,,11.1,.540,17.8,,.285
118,Kansas State,27,12,15,.444,4.13,9.65,,3,11,,,,,,,,1857,1945,,,,.339,.265,.473,50.9,47.5,,6.1,.442,17.2,,.215
119,Kansas NCAA,31,25,6,.806,22.15,10.02,,11,3,,,,,,,,2573,2171,,,,.420,.306,.557,53.3,57.8,,12.8,.529,17.3,,.279
120,Kent State,27,8,19,.296,-7.15,1.03,,5,13,,,,,,,,1757,1978,,,,.343,.245,.486,46.1,58.4,,6.6,.444,20.1,,.241
121,Kentucky NCAA,33,28,5,.848,28.07,9.71,,14,2,,,,,,,,2884,2278,,,,.362,.333,.556,52.3,63.7,,12.8,.522,15.9,,.261
122,La Salle,27,13,14,.481,-0.20,0.09,,7,7,,,,,,,,1994,2002,,,,.318,.444,.511,47.8,47.2,,4.5,.482,13.9,,.213
123,Lafayette,27,2,25,.074,-27.84,-7.03,,0,14,,,,,,,,1833,2349,,,,.325,.254,.459,46.8,40.8,,4.2,.424,20.4,,.214
124,Lamar,27,11,16,.407,-11.44,-4.04,,6,12,,,,,,,,1775,1921,,,,.399,.237,.467,50.6,49.6,,3.5,.432,18.9,,.247
125,Lehigh,27,11,16,.407,-12.87,-8.87,,5,9,,,,,,,,2030,2131,,,,.471,.190,.512,49.5,48.5,,6.9,.469,17.3,,.314
126,Liberty,28,12,16,.429,-7.69,-4.19,,7,9,,,,,,,,1872,1925,,,,.363,.320,.511,51.3,62.8,,12.8,.476,21.8,,.245
127,Long Beach State NCAA,30,20,10,.667,5.29,3.67,,13,5,,,,,,,,2173,2098,,,,.405,.285,.540,51.0,63.3,,7.8,.516,20.6,,.254
128,Long Island University,28,11,17,.393,-17.45,-8.57,,8,10,,,,,,,,2248,2462,,,,.364,.243,.481,46.2,40.0,,7.4,.449,15.3,,.230
129,Louisiana,29,7,22,.241,-8.25,-1.62,,4,14,,,,,,,,1987,2106,,,,.334,.277,.469,47.8,55.5,,10.1,.441,19.4,,.205
130,Louisiana-Monroe,32,14,18,.438,-5.69,-3.53,,11,7,,,,,,,,2406,2475,,,,.290,.316,.524,49.4,44.4,,6.6,.496,18.6,,.201
